configKey,category,label,value,defaultValue,dataType,description,isReadOnly,sortOrder
maxExportRows,Export,Maximum Export Row Limit,5000,5000,integer,Maximum number of rows returned in CSV/GeoJSON exports. Increase with caution — large exports impact server memory.,false,10
exportRateLimit,Export,Export Rate Limit (per hour),20,20,integer,Maximum export requests per user per hour to prevent abuse.,false,20
defaultMapZoom,Map,Default Map Zoom Level,8,8,integer,Initial zoom level when the map loads (4=country 10=city 14=street).,false,30
proximityDefaultKm,Map,Default Proximity Search Radius (km),10,10,decimal,Pre-filled radius value in the proximity search panel.,false,40
conditionAlertThreshold,Quality,Condition Alert Threshold,3,3,integer,Bridges with conditionRating at or below this value are flagged as alerts on the map.,false,50
inspectionStaleDays,Quality,Inspection Staleness Threshold (days),730,730,integer,Number of days after which a bridge inspection is considered stale for data quality checks.,false,60
qualityScoreRedBelow,Quality,Quality Score — Red Below (%),50,50,integer,Bridges with completeness score below this % are shown in red on the quality dashboard.,false,70
qualityScoreAmberBelow,Quality,Quality Score — Amber Below (%),80,80,integer,Bridges with completeness score below this % (but above red) are shown in amber.,false,80
massUploadMaxMb,Upload,Mass Upload File Size Limit (MB),25,25,integer,Maximum file size for XLSX/CSV uploads in megabytes.,false,90
massUploadBatchSize,Upload,Mass Upload Batch Size,500,500,integer,Number of rows processed per database transaction during mass upload.,false,100
appMaintenanceMode,Display,Maintenance Mode,false,false,boolean,When true a maintenance banner is shown to all users. Set to false to dismiss.,false,110
appMaintenanceMessage,Display,Maintenance Banner Message,,Bridge Management System is currently undergoing maintenance. Some features may be unavailable.,string,Message shown in the maintenance banner when maintenance mode is enabled.,false,120
sessionTimeoutMinutes,Security,Session Timeout (minutes),60,60,integer,Idle session timeout in minutes. Changes take effect on next login.,false,130
auditLogRetentionDays,Security,Audit Log Retention (days),365,365,integer,Number of days to retain change document records. Older records are not automatically purged — this is a reference value for a scheduled job.,false,140
demoModeActive,Display,Demo Mode Active,false,false,boolean,When true the system is running with NSW demo bridge data. Use Demo Mode in BMS Admin to load or clear demo data.,false,105
eamConnected,Integration,SAP EAM Connected,false,false,boolean,When true BMS integrates with SAP S/4HANA EAM for notifications and work orders. When false standalone mode is active.,false,150
eamBaseUrl,Integration,SAP S/4 EAM Base URL,,https://s4-host:44300,string,Base URL for SAP S/4HANA OData endpoints. Required when eamConnected is true.,false,151
gazetteExpiryWarningDays,Compliance,Gazette Expiry Warning (days),60,60,integer,Number of days before gazette expiry to trigger a warning alert.,false,160
lrcExpiryWarningDays,Compliance,Load Rating Certificate Expiry Warning (days),90,90,integer,Number of days before a load rating certificate expires to trigger a warning.,false,161
pbsExpiryWarningDays,Compliance,PBS Approval Expiry Warning (days),90,90,integer,Number of days before a PBS approval expires to trigger a warning.,false,162
hmlExpiryWarningDays,Compliance,HML Approval Expiry Warning (days),90,90,integer,Number of days before an HML approval expires to trigger a warning.,false,163
nhvrAssessmentExpiryDays,Compliance,NHVR Assessment Expiry Warning (days),90,90,integer,Number of days before an NHVR route assessment expires to trigger a warning.,false,164
riskReviewWarningDays,Compliance,Risk Assessment Review Warning (days),30,30,integer,Number of days before a risk assessment review is due to trigger a warning.,false,165
kpiSnapshotEnabled,Analytics,KPI Snapshot Collection Enabled,true,true,boolean,When true the system records daily KPI snapshots for trend analysis.,false,170
kpiSnapshotRetentionDays,Analytics,KPI Snapshot Retention (days),1095,1095,integer,Number of days to retain KPI snapshot records (default 3 years).,false,171
