ID,group_ID,objectType,name,internalKey,dataType,unit,helpText,displayOrder,minValue,maxValue,regexPattern,status,createdAt,createdBy,modifiedAt,modifiedBy
20000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,bridge,AS5100 Bridge Class,as5100_bridge_class,SingleSelect,,,10,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,bridge,PBS Approval Level,pbs_approval_level,SingleSelect,,,20,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000002,bridge,Load Capacity,load_capacity,Decimal,tonnes,Maximum load capacity in tonnes,10,0,500,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000002,bridge,Year Built,year_built,Date,,,20,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000002,bridge,Span Count,span_count,Integer,spans,Number of spans,30,1,100,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000003,restriction,Restriction Severity,restriction_severity,SingleSelect,,,10,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000004,bridge,Seismic Zone,seismic_zone,SingleSelect,,,10,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000004,bridge,Flood Risk Level,flood_risk_level,SingleSelect,,,20,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000004,bridge,Heritage Listed,heritage_listed,Boolean,,,30,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000004,bridge,Last Structural Review,last_structural_review,Date,,,40,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000004,bridge,Engineer Notes,engineer_notes,Text,,,50,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000005,bridge,Seismic Zone AS1170,seismic_zone_as1170,SingleSelect,,Seismic hazard zone per AS 1170.4,10,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000005,bridge,Structural Deficiency Code,structural_deficiency_code,Text,,Deficiency code from structural assessment report,20,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000005,bridge,Fatigue Category AS4100,fatigue_category,SingleSelect,,Detail fatigue category per AS 4100 Table 11.5.1,30,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000015,10000000-0000-0000-0000-000000000006,bridge,Exposure Classification AS3600,exposure_classification,SingleSelect,,Concrete exposure classification per AS 3600 Table 4.3,10,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000006,bridge,Flood Immunity Level,flood_immunity_level,SingleSelect,,Design flood immunity level per ARI flood event,20,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
20000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000006,bridge,Soil Aggressivity AS2159,soil_aggressivity,SingleSelect,,Soil aggressivity classification per AS 2159 Table A1,30,,,,Active,2025-01-01T00:00:00Z,system,2025-01-01T00:00:00Z,system
