bridgeId,name,state,region,lga,latitude,longitude,structureType,material,yearBuilt,spanLengthM,totalLengthM,clearanceHeightM,numberOfSpans,numberOfLanes,condition,conditionRating,conditionRatingTfnsw,postingStatus,assetOwner,maintenanceAuthority,scourRisk,floodImpacted,floodImmunityAri,hmlApproved,bdoubleApproved,freightRoute,overMassRoute,nhvrRouteAssessed,pbsApprovalClass,networkClassification,importanceLevel,seismicZone,aadt,heavyVehiclePercentage,highPriorityAsset,remarks,isActive,dataSource,sourceReferenceUrl,openDataReference,geoJson
BRG-NSW-001,Lennox Bridge,NSW,Blue Mountains,Blue Mountains City,-33.754222,150.632389,Masonry Arch,Sandstone,1833,15,30,4.2,1,2,FAIR,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,false,false,false,false,true,General Access,Notice,Essential,Zone 1,2500,3.0,false,"Heritage-listed oldest stone arch bridge on mainland Australia (1833). Single-lane only. Restricted to light vehicles and pedestrians.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Lennox_Bridge_(Glenbrook),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[150.632389,-33.754222]}"
BRG-NSW-002,Lansdowne Bridge,NSW,South West Sydney,Fairfield,-33.890028,150.967083,Masonry Arch,Sandstone,1836,33.5,33.5,,1,1,GOOD,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,50,false,false,false,false,true,General Access,Notice,Essential,Zone 1,3000,4.0,false,"Heritage sandstone arch bridge over Prospect Creek. Australia's oldest single-span stone arch bridge.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Lansdowne_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[150.967083,-33.890028]}"
BRG-NSW-003,Hampden Bridge,NSW,Illawarra,Kiama,-34.727417,150.520889,Suspension,Timber,1898,77,77,5.0,1,1,FAIR,3,2,RESTRICTED,Transport for NSW,Transport for NSW,Medium,true,20,false,false,false,false,false,Not Assessed,Permit,Essential,Zone 1,1500,5.0,true,"Only surviving wooden suspension bridge from the Victorian era in Australia. One-lane, weight restricted. Heritage listed.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Hampden_Bridge_(Kangaroo_Valley),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[150.520889,-34.727417]}"
BRG-NSW-004,Pyrmont Bridge,NSW,Sydney Metro,City of Sydney,-33.870556,151.200722,Truss,Steel,1902,50,369,,7,2,GOOD,2,2,UNRESTRICTED,City of Sydney Council,City of Sydney Council,Low,false,100,false,false,false,false,false,Not Assessed,Notice,Important,Zone 1,25000,2.0,false,"Heritage-listed electrified swing bridge over Cockle Bay / Darling Harbour. Opens for marine traffic. Pedestrian/light vehicle only.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Pyrmont_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[151.200722,-33.870556]}"
BRG-NSW-005,Sydney Harbour Bridge,NSW,Sydney Metro,North Sydney,-33.852056,151.210750,Arch Bridge,Steel,1932,503,1149,49.0,1,8,GOOD,2,1,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,true,true,true,true,true,Level 4,Notice,Critical,Zone 1,160000,18.5,true,"Iconic steel through-arch bridge. Carries 8 lanes road, 2 rail, 1 cycleway and 1 footway. Major strategic asset under continuous monitoring.",true,NSW Open Data – TfNSW Asset Registry,https://opendata.transport.nsw.gov.au/dataset/nsw-state-roads-vertical-clearances,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,"{""type"":""LineString"",""coordinates"":[[151.206,-33.852],[151.2115,-33.852]]}"
BRG-NSW-006,Anzac Bridge,NSW,Sydney Metro,City of Sydney,-33.869111,151.185722,Cable-stayed,Concrete and Steel,1995,345,805,40.0,3,6,FAIR,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,true,false,true,false,true,Level 3,Notice,Essential,Zone 1,95000,16.25,true,"Major cable-stayed bridge linking Pyrmont to Rozelle. Urban freight corridor. Regular inspections. Deck monitoring active.",true,NSW Open Data – TfNSW Asset Registry,https://opendata.transport.nsw.gov.au/dataset/nsw-state-roads-vertical-clearances,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,"{""type"":""LineString"",""coordinates"":[[151.188,-33.869],[151.183,-33.869]]}"
BRG-NSW-007,Gladesville Bridge,NSW,Sydney Metro,Ryde,-33.842194,151.147861,Arch Bridge,Concrete,1964,305,488,25.0,1,4,FAIR,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,50,false,false,true,false,true,Level 2,Notice,Essential,Zone 1,65000,10.0,false,"Concrete arch bridge over Parramatta River. Was world's longest concrete arch (305m) at opening until 1980.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Gladesville_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[151.147861,-33.842194]}"
BRG-NSW-008,Mooney Mooney Creek Bridge,NSW,Central Coast,Gosford,-33.432444,151.253639,Box Girder,Prestressed Concrete,1986,220,485,84.0,4,4,GOOD,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,true,false,true,false,true,Level 3,Notice,Essential,Zone 1,45000,12.0,false,"One of Australia's highest bridges at 84m above the valley floor. Prestressed concrete balanced cantilever construction.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Mooney_Mooney_Creek_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[151.253639,-33.432444]}"
BRG-NSW-009,Grafton Bridge,NSW,Northern NSW,Clarence Valley,-29.698056,152.942222,Truss,Steel and Concrete,1932,525,525,18.0,2,2,FAIR,3,3,RESTRICTED,Transport for NSW,Transport for NSW,High,true,20,false,false,false,false,false,Not Assessed,Permit,Important,Zone 1,15000,12.0,true,"Bascule truss cantilever bridge over Clarence River. Periodic load restrictions. Scour monitoring in place. Heritage asset.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Grafton_Bridge_(New_South_Wales),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[152.942222,-29.698056]}"
BRG-NSW-010,Sea Cliff Bridge,NSW,Illawarra,Wollongong,-34.254111,150.973472,Box Girder,Prestressed Concrete,2005,108,455,,4,2,GOOD,1,1,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,false,false,false,false,true,General Access,Notice,Important,Zone 1,12000,5.0,false,"Clifftop cantilever box girder on Lawrence Hargrave Drive. Replaced the often-flooded road section. Iconic coastal bridge.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Sea_Cliff_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[150.973472,-34.254111]}"
